Ville,Type,Surface,NbPieces,NbChambres,NbSdb,DPE,Prix
Rosny-sous-Bois,Appartement,44 ,2,1,1,-,178000
Paris 8ème,Maison,500 ,1,1,1,-,1000000
Ablon-sur-Seine,Maison,150 ,6,3,3,-,455000
Bezons,Appartement,55 ,3,2,1,-,225000
Le Mesnil-le-Roi,Appartement,33 ,2,1,1,-,125000
Villeparisis,Appartement,42 ,2,1,1,-,135000
Morsang-sur-Orge,Maison,120 ,5,3,2,-,359000
Paris 9ème,Maison,140 ,7,3,1,-,130000
Livry-Gargan,Appartement,54 ,54,2,1,-,160000
Sevran,Appartement,72 ,72,3,1,-,155000
Saints,Maison,218 ,8,5,3,-,443000
Sancy-lès-Provins,Appartement,61 ,3,2,1,-,107000
Paris 9ème,Appartement,93 ,3,2,2,-,550000
Sancy-lès-Provins,Maison,240 ,8,3,1,-,198000
Montlhéry,Appartement,40 ,2,1,1,-,139000
Saint-Léger-en-Yvelines,Appartement,67 ,3,2,1,-,241500
Vaux-le-Pénil,Appartement,81 ,4,3,1,-,219000
Aulnay-sous-Bois,Appartement,44 ,2,1,1,-,89000
Paris 10ème,Appartement,500 ,-,-,-,-,800000
Paris 10ème,Appartement,500 ,-,-,-,-,150000
Asnières-sur-Seine,Appartement,45 ,2,1,1,-,225000
Asnières-sur-Seine,Appartement,45 ,2,1,1,-,229000
Pecqueuse,Maison,100 ,6,4,-,-,98000
Ris-Orangis,Maison,96 ,6,4,2,-,255000
Le Perreux-sur-Marne,Appartement,50 ,2,1,1,-,215000
Champigny-sur-Marne,Appartement,72 ,4,2,1,-,197000
Paris 18ème,Appartement,100 ,4,3,2,-,49000
Paris 11ème,Appartement,60 ,3,2,1,-,550000
Sancy-lès-Provins,Maison,70 ,4,2,1,-,144000
Paris 10ème,Appartement,20 ,1,1,1,-,83000
La Frette-sur-Seine,Maison,86 ,5,3,1,-,325000
Verneuil-sur-Seine,Appartement,63 ,4,3,1,-,179500
Ris-Orangis,Appartement,52 ,2,1,1,-,128000
Saulx-les-Chartreux,Maison,120 ,6,4,1,-,356000
Chevilly-Larue,Appartement,34 ,1,-,1,-,134900
Vaugrigneuse,Maison,150 ,5,4,2,-,525000
Asnières-sur-Seine,Appartement,59 ,3,2,1,-,275000
Villeneuve-le-Roi,Appartement,44 ,3,2,1,-,164000
Yèbles,Maison,180 ,7,5,4,-,380000
Viry-Châtillon,Appartement,77 ,4,2,1,-,169000
La Courneuve,Maison,80 ,4,3,1,-,298000
Asnières-sur-Seine,Appartement,64 ,3,2,1,-,382000
Soindres,Maison,100 ,3,2,1,-,235000
Chevilly-Larue,Appartement,85 ,4,3,1,-,256000
Paris 1er,Appartement,67 ,2,1,1,-,835000
Nesles-la-Vallée,Maison,220 ,7,5,3,-,499000
Vaux-le-Pénil,Maison,160 ,6,4,2,-,329000
Le Raincy,Appartement,69 ,4,2,1,-,260000
Le Raincy,Appartement,64 ,3,2,1,-,194000
Nanterre,Appartement,65 ,3,2,1,-,345000
Montfermeil,Maison,200 ,8,6,2,-,476000
Paris 10ème,Appartement,130 ,5,3,-,-,150000
Paris 10ème,Appartement,130 ,5,3,-,-,150000
